Model,Test MAE (%),Test RMSE (%),Test R²,Test MAPE (%),CV MAE (%),CV MAE Std,CV R²,CV R² Std,Overfitting,Train Time (s)
XGBoost,0.7139,0.9053,0.9324,10.50,0.7805,0.0628,0.9203,0.0127,0.0624,0.34
Gradient Boosting,0.7303,0.9209,0.9300,10.88,0.7717,0.0443,0.9218,0.0098,0.0575,0.72
Linear Regression,0.7614,0.9685,0.9226,10.70,0.7791,0.0280,0.9177,0.0101,-0.0026,0.00
Ridge Regression,0.7615,0.9686,0.9226,10.70,0.7791,0.0280,0.9177,0.0101,-0.0026,0.00
Elastic Net,0.8141,1.0144,0.9151,12.81,0.8178,0.0358,0.9120,0.0091,-0.0008,0.00
Lasso Regression,0.8410,1.0437,0.9101,13.27,0.8392,0.0413,0.9076,0.0096,0.0000,0.00
Extra Trees,0.9627,1.2001,0.8811,15.20,1.0262,0.0615,0.8609,0.0165,0.1063,0.23
Random Forest,1.0131,1.2532,0.8704,16.43,1.0769,0.0642,0.8477,0.0175,0.0946,0.27
AdaBoost,1.5060,1.8588,0.7149,27.92,1.5849,0.0620,0.6962,0.0133,0.0055,0.42
Decision Tree,1.5552,1.9860,0.6745,22.24,1.6344,0.1032,0.6347,0.0376,0.2924,0.01
